name,베타카로틴,비타민D,비타민E,비타민K,비타민B1,비타민B2,나이아신,비타민B6,엽산,비타민B12,비오틴,비타민C,칼슘,마그네슘,철,아연,구리,셀레늄(셀렌),요오드,망간,몰리브덴,칼륨,식이섬유,단백질,프로바이오틱스,진세노사이드,루테인,EPA와 DHA의 합,비타민A
100억 프로바이오틱스,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,16.5,0,0.0,0.0,0,0.0,0,10000000000,0.0,0.0,0.0,0.0
3초습관 플러스타민 종합영양제,0,40.0,11.0,70.0,3.6,4.2,30.0,4.5,1000.0,7.2,90.0,150.0,210.0,100.0,12.0,12.75,0.8,110.0,0,3.0,25.0,0,0.0,0,0,0.0,0.0,0.0,700.0
6년근 고려 홍삼정 진액스틱,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,12.0,0.0,0.0,0.0
6년근 고려100년 홍삼정,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,3.6,0.0,0.0,0.0
6년근 고려홍삼정 골드 진,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,4.7,0.0,0.0,0.0
6년근 고려홍삼정 데일리 골드 스틱,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,6.0,0.0,0.0,0.0
6년근 고려홍삼정 스틱,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,5.5,0.0,0.0,0.0
6년근 발효홍삼정365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,9.6,0.0,0.0,0.0
6년근 홍삼정 에브리데이,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,7.0,0.0,0.0,0.0
6년근 활력 홍삼정 스틱 100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,4.0,0.0,0.0,0.0
BIO ROSETTE C 500 Chewable Vitamin C(전량수출용),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
B플러스비타민,0,0.0,0.0,0.0,45.0,28.0,100.0,30.0,400.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,20.0,0.0,0.0,0.0
EPA DHA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,600.0,0.0
JW중외리버케어,0,0.0,0.0,0.0,1.2,1.4,15.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,55.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
JW중외메타볼리즘,0,0.0,12.5,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
KIDOKKIO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,100000000,0.0,0.0,0.0,0.0
MSM 관절생생 N-아세틸글루코사민,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
rTG 알티지 오메가3 골드,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,600.0,0.0
rTG 알티지 오메가3,0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,500.0,0.0
가르시니아 칼로컷,0,0.0,0.0,0.0,1.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간 건강,0,0.0,5.5,0.0,3.5,4.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간건강 밀크씨슬 10 플러스,0,0.0,0.0,0.0,1.2,1.4,15.0,1.5,400.0,2.4,30.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간건강세븐밀크씨슬,0,0.0,0.0,0.0,1.2,1.4,15.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간건강엔 밀크씨슬,0,0.0,0.0,0.0,1.2,1.4,15.0,1.5,400.0,2.4,30.0,0.0,0.0,0.0,0.0,8.5,0.8,55.0,0,3.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간건강엔곰피로,0,0.0,0.0,0.0,50.0,40.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간건강프리미엄밀크씨슬,0,0.0,0.0,0.0,1.2,1.4,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간에 좋은 프리미엄 밀크씨슬,0,5.0,3.3,0.0,1.2,1.4,4.5,1.5,400.0,2.4,0.0,30.0,0.0,0.0,0.0,2.55,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간에는 역시 밀크시슬파워,0,0.0,0.0,0.0,1.2,1.4,15.0,1.5,400.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,55.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간에좋은 밀크씨슬,0,0.0,0.0,0.0,1.1,1.2,13.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간에좋은밀크씨슬,0,0.0,0.0,0.0,1.2,1.4,15.0,1.5,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간에좋은밀크씨슬골드,0,0.0,3.85,0.0,1.8,1.4,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
간에좋은밀크씨슬플러스,0,0.0,0.0,0.0,1.2,1.4,7.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
